Rank,Release Group,Worldwide,Domestic,%,Foreign,%
29,The Cursed,"$2,007,050","$2,007,050",100%,-,-
30,The Young Lovers,"$1,816,970",-,-,"$1,816,970",100%
31,Aslan: Hürkus kayip Elmas,"$1,804,399",-,-,"$1,804,399",100%
32,Chuyen Ma Gan Nhà,"$1,795,484",-,-,"$1,795,484",100%
33,Love Mocktail 2,"$1,750,544",-,-,"$1,750,544",100%
34,The King's Daughter,"$1,730,793","$1,730,793",100%,-,-
35,Hridayam,"$1,717,984",-,-,"$1,717,984",100%
36,The Grandmother,"$1,579,398",-,-,"$1,579,398",100%
37,"8 rzeczy, których nie wiecie o facetach","$1,554,861",-,-,"$1,554,861",100%
38,Gierek,"$1,531,831",-,-,"$1,531,831",100%
39,For Ziko,"$1,446,445",-,-,"$1,446,445",100%
40,Love Is Better Than Life,"$1,410,719",-,-,"$1,410,719",100%
41,Chickenhare and the Hamster of Darkness,"$1,300,000",-,-,"$1,300,000",100%
42,Nhà Khong Bán,"$1,216,452",-,-,"$1,216,452",100%
43,The Beatles: Get Back,"$1,214,743",-,-,"$1,214,743",100%
44,Swingers,"$1,168,817",-,-,"$1,168,817",100%
45,Badhaai Do,"$1,142,029",-,-,"$1,142,029",100%
46,The Wannabes,"$1,097,827",-,-,"$1,097,827",100%
47,1990,"$1,071,242",-,-,"$1,071,242",100%
48,The Butcher's Daughter,"$1,033,162",-,-,"$1,033,162",100%
49,Veerame Vaagai Soodum,"$1,024,908",-,-,"$1,024,908",100%
50,A Radiant Girl,"$1,012,800",-,-,"$1,012,800",100%
51,Mali Twist,"$956,475",-,-,"$956,475",100%
52,Fireheart,"$943,595",-,-,"$943,595",100%
53,Heart to Heart,"$887,955",-,-,"$887,955",100%
54,The Tiger Rising,"$882,128","$835,162",94.7%,"$46,966",5.3%
55,The Souvenir,"$827,620",-,-,"$827,620",100%
56,My Brothers and I,"$825,312",-,-,"$825,312",100%
57,Around the World in 80 Days,"$768,391",-,-,"$768,391",100%
58,Placés,"$759,453",-,-,"$759,453",100%
59,"Love, Sex & Pandemic","$717,052",-,-,"$717,052",100%
60,The Exorcism of God,"$700,338",-,-,"$700,338",100%
61,FIR,"$697,890",-,-,"$697,890",100%
62,America Latina,"$693,818",-,-,"$693,818",100%
63,Meppadiyan,"$691,981",-,-,"$691,981",100%
64,Liubov i blohery,"$677,744",-,-,"$677,744",100%
65,Dilberay Küçük Dev Kadin,"$661,900",-,-,"$661,900",100%
66,Hello Jadoo: The Secret of Jeju Island,"$658,191",-,-,"$658,191",100%
67,Zlatni decko,"$653,456",-,-,"$653,456",100%
68,Boiling Point,"$651,281",-,-,"$651,281",100%
69,Adieu Paris,"$647,135",-,-,"$647,135",100%
70,Tajemství staré bambitky 2,"$644,429",-,-,"$644,429",100%
