Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
196,Streltsov,"$4,850,073",-,-,"$4,850,073",100%,2020.csv,2020
197,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-,2020.csv,2020
198,The Empty Man,"$4,796,993","$2,992,948",62.4%,"$1,804,045",37.6%,2020.csv,2020
199,The Vets,"$4,788,826",-,-,"$4,788,826",100%,2020.csv,2020
200,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%,2020.csv,2020
1,Spider-Man: No Way Home,"$1,808,739,012","$761,739,012",42.1%,"$1,047,000,000",57.9%,2021.csv,2021
2,The Battle at Lake Changjin,"$902,540,935","$342,411",<0.1%,"$902,198,524",100%,2021.csv,2021
3,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%,2021.csv,2021
4,No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%,2021.csv,2021
5,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%,2021.csv,2021
6,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%,2021.csv,2021
7,Venom: Let There Be Carnage,"$502,050,366","$213,550,366",42.5%,"$288,500,000",57.5%,2021.csv,2021
8,Godzilla vs. Kong,"$468,216,094","$100,916,094",21.6%,"$367,300,000",78.4%,2021.csv,2021
9,Shang-Chi and the Legend of the Ten Rings,"$432,233,010","$224,543,292",51.9%,"$207,689,718",48.1%,2021.csv,2021
10,Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%,2021.csv,2021
11,Dune,"$400,212,452","$107,868,493",27%,"$292,343,959",73%,2021.csv,2021
12,Black Widow,"$379,631,351","$183,651,655",48.4%,"$195,979,696",51.6%,2021.csv,2021
13,Free Guy,"$331,503,757","$121,626,598",36.7%,"$209,877,159",63.3%,2021.csv,2021
14,Sing 2,"$311,687,680","$144,194,680",46.3%,"$167,493,000",53.7%,2021.csv,2021
15,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%,2021.csv,2021
16,Encanto,"$239,998,516","$94,373,983",39.3%,"$145,624,533",60.7%,2021.csv,2021
17,Cruella,"$233,274,812","$86,103,234",36.9%,"$147,171,578",63.1%,2021.csv,2021
18,"My Country, My Parents","$221,701,823","$166,807",<0.1%,"$221,535,016",99.9%,2021.csv,2021
19,Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%,2021.csv,2021
20,Raging Fire,"$205,846,481","$385,305",0.2%,"$205,461,176",99.8%,2021.csv,2021
21,The Conjuring: The Devil Made Me Do It,"$202,031,050","$65,631,050",32.5%,"$136,400,000",67.5%,2021.csv,2021
22,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%,2021.csv,2021
23,Ghostbusters: Afterlife,"$197,063,011","$129,063,011",65.5%,"$68,000,000",34.5%,2021.csv,2021
24,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%,2021.csv,2021
25,The Suicide Squad,"$167,417,425","$55,817,425",33.3%,"$111,600,000",66.7%,2021.csv,2021
26,Space Jam: A New Legacy,"$162,892,228","$70,592,228",43.3%,"$92,300,000",56.7%,2021.csv,2021
27,The Matrix Resurrections,"$156,473,077","$37,584,847",24%,"$118,888,230",76%,2021.csv,2021
28,Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",26.3%,"$113,400,000",73.7%,2021.csv,2021
29,House of Gucci,"$152,011,943","$53,706,943",35.3%,"$98,305,000",64.7%,2021.csv,2021
30,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%,2021.csv,2021
31,The Boss Baby: Family Business,"$146,745,280","$57,300,280",39%,"$89,445,000",61%,2021.csv,2021
32,PAW Patrol: The Movie,"$144,327,371","$40,127,371",27.8%,"$104,200,000",72.2%,2021.csv,2021
33,Tom and Jerry,"$133,336,687","$46,536,687",34.9%,"$86,800,000",65.1%,2021.csv,2021
34,Be Somebody,"$132,324,831",-,-,"$132,324,831",100%,2021.csv,2021
35,Halloween Kills,"$131,647,155","$92,002,155",69.9%,"$39,645,000",30.1%,2021.csv,2021
36,Raya and the Last Dragon,"$130,281,158","$54,723,032",42%,"$75,558,126",58%,2021.csv,2021
37,Sister,"$128,317,206",-,-,"$128,317,206",100%,2021.csv,2021
38,The King's Man,"$123,960,296","$36,901,741",29.8%,"$87,058,555",70.2%,2021.csv,2021
39,The Addams Family 2,"$119,815,153","$56,489,153",47.1%,"$63,326,000",52.9%,2021.csv,2021
40,My Love,"$114,016,434","$86,252",<0.1%,"$113,930,182",99.9%,2021.csv,2021
41,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%,2021.csv,2021
42,Clifford the Big Red Dog,"$100,247,356","$48,947,356",48.8%,"$51,300,000",51.2%,2021.csv,2021
43,Detective Conan: The Scarlet Bullet,"$95,580,715",-,-,"$95,580,715",100%,2021.csv,2021
44,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,-,"$92,246,218",100%,2021.csv,2021
45,End Game,"$91,824,961","$23,149",<0.1%,"$91,801,812",100%,2021.csv,2021
46,Old,"$90,112,510","$48,242,510",53.5%,"$41,870,000",46.5%,2021.csv,2021
47,Mortal Kombat,"$83,726,031","$42,326,031",50.6%,"$41,400,000",49.4%,2021.csv,2021
48,Boonie Bears: The Wild Life,"$77,961,258",-,-,"$77,961,258",100%,2021.csv,2021
49,Candyman,"$77,411,570","$61,186,570",79%,"$16,225,000",21%,2021.csv,2021
50,The Forever Purge,"$76,994,245","$44,539,245",57.8%,"$32,455,000",42.2%,2021.csv,2021
51,1921,"$75,159,828",-,-,"$75,159,828",100%,2021.csv,2021
52,Hitman's Wife's Bodyguard,"$70,060,492","$38,014,727",54.3%,"$32,045,765",45.7%,2021.csv,2021
53,West Side Story,"$67,092,278","$37,309,162",55.6%,"$29,783,116",44.4%,2021.csv,2021
54,Jujutsu Kaisen 0: The Movie,"$64,330,795",-,-,"$64,330,795",100%,2021.csv,2021
55,Belle,"$62,815,697","$3,821,762",6.1%,"$58,993,935",93.9%,2021.csv,2021
56,Ron's Gone Wrong,"$60,660,840","$23,009,270",37.9%,"$37,651,570",62.1%,2021.csv,2021
57,Cloudy Mountain,"$58,281,703",-,-,"$58,281,703",100%,2021.csv,2021
58,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%,2021.csv,2021
59,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%,2021.csv,2021
60,Nobody,"$55,405,035","$27,268,035",49.2%,"$28,137,000",50.8%,2021.csv,2021
61,Upcoming,"$54,300,000",-,-,"$54,300,000",100%,2021.csv,2021
62,Man in Love,"$52,946,097",-,-,"$52,946,097",100%,2021.csv,2021
63,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%,2021.csv,2021
64,Escape Room: Tournament of Champions,"$51,914,753","$25,314,753",48.8%,"$26,600,000",51.2%,2021.csv,2021
65,Schemes in Antiques,"$51,637,422","$36,501",<0.1%,"$51,600,921",99.9%,2021.csv,2021
66,Luca,"$49,750,471",-,-,"$49,750,471",100%,2021.csv,2021
67,Don't Breathe 2,"$47,312,950","$32,712,950",69.1%,"$14,600,000",30.9%,2021.csv,2021
68,My Hero Academia: World Heroes' Mission,"$46,567,849","$12,271,658",26.4%,"$34,296,191",73.6%,2021.csv,2021
69,The French Dispatch,"$45,641,166","$16,124,375",35.3%,"$29,516,791",64.7%,2021.csv,2021
70,Love Will Tear Us Apart,"$45,060,290",-,-,"$45,060,290",100%,2021.csv,2021
71,In the Heights,"$43,975,167","$29,975,167",68.2%,"$14,000,000",31.8%,2021.csv,2021
72,Spirit Untamed,"$42,636,215","$17,635,215",41.4%,"$25,001,000",58.6%,2021.csv,2021
73,Spiral,"$40,618,920","$23,216,862",57.2%,"$17,402,058",42.8%,2021.csv,2021
74,Snake Eyes,"$40,064,325","$28,264,325",70.5%,"$11,800,000",29.5%,2021.csv,2021
75,Tokyo Revengers,"$39,687,069",-,-,"$39,687,069",100%,2021.csv,2021
76,Nomadland,"$39,458,207","$3,700,000",9.4%,"$35,758,207",90.6%,2021.csv,2021
77,Resident Evil: Welcome to Raccoon City,"$38,600,046","$17,000,046",44%,"$21,600,000",56%,2021.csv,2021
78,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%,2021.csv,2021
79,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%,2021.csv,2021
80,The Door Lock,"$36,100,000",-,-,"$36,100,000",100%,2021.csv,2021
81,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"$36,065,638",-,-,"$36,065,638",100%,2021.csv,2021
82,I Fell in Love Like a Flower Bouquet,"$34,975,905",-,-,"$34,975,905",100%,2021.csv,2021
83,King Richard,"$34,250,166","$14,931,337",43.6%,"$19,318,829",56.4%,2021.csv,2021
84,Malignant,"$33,991,791","$13,391,791",39.4%,"$20,600,000",60.6%,2021.csv,2021
85,Nightmare Alley,"$33,557,500","$11,047,389",32.9%,"$22,510,111",67.1%,2021.csv,2021
86,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%,2021.csv,2021
87,Masquerade Night,"$32,287,400",-,-,"$32,287,400",100%,2021.csv,2021
88,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%,2021.csv,2021
89,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%,2021.csv,2021
