Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
334,Zone 414,"$3,703",-,3703,2022.csv,2022,-,100%
335,Arekalar,"$3,599",-,3599,2022.csv,2022,-,100%
336,The Maid,"$3,475",-,3475,2022.csv,2022,-,100%
337,Special Delivery,"$3,464,888",-,3464888,2022.csv,2022,-,100%
338,A Quiet Place Part II,"$297,372,261","$160,072,261",137300000,2021.csv,2021,53.8%,46.2%
339,The Little Things,"$29,942,746","$15,342,746",14600000,2021.csv,2021,51.2%,48.8%
340,Escape from Mogadishu,"$29,855,981","$346,271",29509710,2021.csv,2021,1.2%,98.8%
341,Dilberay Küçük Dev Kadin,"$284,405",-,284405,2022.csv,2022,-,100%
342,Bath Buddy,"$28,700,000",-,28700000,2020.csv,2020,-,100%
343,Master,"$28,692,230",-,28692230,2021.csv,2021,-,100%
344,C.I.Ape,"$28,517",-,28517,2022.csv,2022,-,100%
345,Ala Vaikunthapurramuloo,"$28,477,890",-,28477890,2020.csv,2020,-,100%
346,The Last Warrior: A Messenger of Darkness,"$28,431,360",-,28431360,2021.csv,2021,-,100%
347,The Last Warrior: Root of Evil,"$28,357,398",-,28357398,2021.csv,2021,-,100%
348,Un Rabón con Corazón,"$272,584",-,272584,2022.csv,2022,-,100%
349,Embrace Again,"$27,157",-,27157,2022.csv,2022,-,100%
350,Scoob!,"$27,088,425","$2,188,425",24900000,2020.csv,2020,8.1%,91.9%
351,Beyond Live Nct: Resonance,"$266,442",-,266442,2022.csv,2022,-,100%
352,The Witches,"$26,900,000",-,26900000,2020.csv,2020,-,100%
353,Chaos Walking,"$26,508,132","$13,287,908",13220224,2021.csv,2021,50.1%,49.9%
354,Belfast,"$26,469,040","$8,044,040",18425000,2021.csv,2021,30.4%,69.6%
355,Emma.,"$26,404,660","$10,055,355",16349305,2020.csv,2020,38.1%,61.9%
356,American Underdog,"$26,385,316","$26,385,316",0,2021.csv,2021,100%,-
357,The 355,"$26,291,706","$14,529,065",11762641,2022.csv,2022,55.3%,44.7%
358,Mariya,"$26,107",-,26107,2022.csv,2022,-,100%
359,The Courier,"$26,000,711","$6,613,432",19387279,2021.csv,2021,25.4%,74.6%
360,Last Looks,"$257,630",-,257630,2022.csv,2022,-,100%
361,Secret Name,"$254,609",-,254609,2022.csv,2022,-,100%
362,Leap,"$25,818,882","$83,074",25735808,2020.csv,2020,0.3%,99.7%
363,Düs Pesine,"$25,416",-,25416,2022.csv,2022,-,100%
364,Dolittle,"$245,438,444","$77,047,065",168391379,2020.csv,2020,31.4%,68.6%
365,Legend of Deification,"$240,663,149","$214,670",240448479,2020.csv,2020,<0.1%,99.9%
366,Moonfall,"$24,949,833","$16,285,954",8663879,2022.csv,2022,65.3%,34.7%
367,The Father,"$24,289,294","$2,122,771",22166523,2020.csv,2020,8.7%,91.3%
368,Shortbus 2022 Re-release (Restoration),"$24,200","$24,200",0,2022.csv,2022,100%,-
369,Licorice Pizza,"$24,193,955","$14,445,955",9748000,2021.csv,2021,59.7%,40.3%
370,Encanto,"$239,998,516","$94,373,983",145624533,2021.csv,2021,39.3%,60.7%
371,Naai Sekar,"$237,861",-,237861,2022.csv,2022,-,100%
372,Cruella,"$233,274,812","$86,103,234",147171578,2021.csv,2021,36.9%,63.1%
373,Interstellar 2020 Re-release,"$23,771,122",-,23771122,2020.csv,2020,-,100%
374,Yildizlar Da Kayar,"$23,558",-,23558,2022.csv,2022,-,100%
375,Those Who Wish Me Dead,"$23,468,586","$7,407,200",16061386,2021.csv,2021,31.6%,68.4%
376,Know Fear,"$23,309",-,23309,2022.csv,2022,-,100%
377,Kara Neme: Gelin Deresi,"$23,177",-,23177,2022.csv,2022,-,100%
378,The Marksman,"$23,076,711","$15,566,093",7510618,2021.csv,2021,67.5%,32.5%
379,The Best Weekend,"$224,062",-,224062,2022.csv,2022,-,100%
380,Sundown,"$221,725","$221,725",0,2022.csv,2022,100%,-
381,"My Country, My Parents","$221,701,823","$166,807",221535016,2021.csv,2021,<0.1%,99.9%
382,Jungle Cruise,"$220,889,446","$116,987,516",103901930,2021.csv,2021,53%,47%
383,Last Night in Soho,"$22,957,625","$10,127,625",12830000,2021.csv,2021,44.1%,55.9%
384,The Day We Lit Up the Sky,"$22,500,000",-,22500000,2021.csv,2021,-,100%
385,Gretel & Hansel,"$22,051,055","$15,347,654",6703401,2020.csv,2020,69.6%,30.4%
386,Too Cool to Kill,"$217,000,000",-,217000000,2022.csv,2022,-,100%
387,A Little Red Flower,"$216,000,000",-,216000000,2020.csv,2020,-,100%
388,The Croods 2: A New Age,"$215,905,815","$58,568,815",157337000,2020.csv,2020,27.1%,72.9%
389,Kaamelott: First Installment,"$21,962,844","$188,000",21774844,2021.csv,2021,0.9%,99.1%
390,Poupelle of Chimney Town,"$21,830,600",-,21830600,2020.csv,2020,-,100%
391,Spravzhnii Santa,"$21,719",-,21719,2022.csv,2022,-,100%
392,After We Fell,"$21,584,600","$2,170,750",19413850,2021.csv,2021,10.1%,89.9%
393,Uncharted,"$21,500,000",-,21500000,2022.csv,2022,-,100%
394,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,21318560,2021.csv,2021,-,100%
395,Stigmatized Properties,"$21,276,720",-,21276720,2020.csv,2020,-,100%
396,Wish Dragon,"$21,120,000",-,21120000,2021.csv,2021,-,100%
397,Pokémon the Movie: Secrets of the Jungle,"$21,097,921",-,21097921,2020.csv,2020,-,100%
398,Raging Fire,"$205,846,481","$385,305",205461176,2021.csv,2021,0.2%,99.8%
399,My Wonderful Wanda,"$202,048",-,202048,2022.csv,2022,-,100%
400,The Conjuring: The Devil Made Me Do It,"$202,031,050","$65,631,050",136400000,2021.csv,2021,32.5%,67.5%
401,Birds of Prey,"$201,858,461","$84,158,461",117700000,2020.csv,2020,41.7%,58.3%
402,The Photograph,"$20,690,779","$20,578,185",112594,2020.csv,2020,99.5%,0.5%
403,Marry Me,"$20,635,930","$12,021,930",8614000,2022.csv,2022,58.3%,41.7%
404,Spencer,"$20,538,073","$7,086,632",13451441,2021.csv,2021,34.5%,65.5%
405,Yarn,"$20,474,270",-,20474270,2020.csv,2020,-,100%
406,Violet Evergarden: The Movie,"$20,339,624",-,20339624,2020.csv,2020,-,100%
407,Brahms: The Boy II,"$20,311,536","$12,611,536",7700000,2020.csv,2020,62.1%,37.9%
408,Abbi Fede,"$2,900",-,2900,2022.csv,2022,-,100%
409,Beautiful Minds,"$2,784,162",-,2784162,2022.csv,2022,-,100%
410,Chia Khoa Tram Ty,"$2,597,972",-,2597972,2022.csv,2022,-,100%
411,Eduardo and Monica,"$2,468",-,2468,2022.csv,2022,-,100%
412,Canim Dayim,"$2,205",-,2205,2022.csv,2022,-,100%
413,The Beatles: Get Back - The Rooftop Concert,"$2,130,269","$930,269",1200000,2022.csv,2022,43.7%,56.3%
414,Promises,"$2,101,180",-,2101180,2022.csv,2022,-,100%
415,Shock Wave 2,"$198,921,659",-,198921659,2020.csv,2020,-,100%
416,Chinese Doctors,"$197,143,218",-,197143218,2021.csv,2021,-,100%
417,Ghostbusters: Afterlife,"$197,063,011","$129,063,011",68000000,2021.csv,2021,65.5%,34.5%
418,Emergency Situation,"$196,534",-,196534,2022.csv,2022,-,100%
419,Portret neznakomtsa,"$19,968",-,19968,2022.csv,2022,-,100%
420,Ice 2,"$19,788,995",-,19788995,2020.csv,2020,-,100%
421,Nashi deti,"$19,749",-,19749,2022.csv,2022,-,100%
422,Stillwater,"$19,672,073","$14,465,535",5206538,2021.csv,2021,73.5%,26.5%
423,Soul Snatcher,"$19,561,221",-,19561221,2020.csv,2020,-,100%
424,The Turning,"$19,428,166","$15,472,775",3955391,2020.csv,2020,79.6%,20.4%
425,Les Tuche 4,"$19,259,766",-,19259766,2021.csv,2021,-,100%
426,The Commando,"$19,253",-,19253,2022.csv,2022,-,100%
427,Fate/Stay Night: Heaven's Feel - III. Spring Song,"$19,252,497","$200,000",19052497,2020.csv,2020,1%,99%
428,Candlelight Revolution,"$19,153",-,19153,2022.csv,2022,-,100%
429,Dear Evan Hansen,"$19,021,477","$15,002,646",4018831,2021.csv,2021,78.9%,21.1%
430,Super Sharanya,"$187,264",-,187264,2022.csv,2022,-,100%
431,Jang Minho Drama,"$185,373",-,185373,2022.csv,2022,-,100%
432,Cliff Walkers,"$181,325,565","$152,972",181172593,2021.csv,2021,<0.1%,99.9%
433,The Pioneer,"$18,900,000",-,18900000,2021.csv,2021,-,100%
434,The Green Knight,"$18,888,418","$17,173,321",1715097,2021.csv,2021,90.9%,9.1%
435,Antlers,"$18,867,659","$10,619,670",8247989,2021.csv,2021,56.3%,43.7%
436,Sinkhole,"$18,804,231",-,18804231,2021.csv,2021,-,100%
437,Mobile Suit Gundam: Hathaway,"$18,731,309",-,18731309,2021.csv,2021,-,100%
438,Takizawa Enbujo Zero,"$18,091,395",-,18091395,2020.csv,2020,-,100%
439,The Stronghold,"$18,066,143",-,18066143,2021.csv,2021,-,100%
440,BanG Dream! Poppin'Dream!,"$175,529",-,175529,2022.csv,2022,-,100%
441,Rosy,"$170,246",-,170246,2022.csv,2022,-,100%
442,A Vanishing Fog,"$17,959",-,17959,2022.csv,2022,-,100%
443,The Promised Neverland,"$17,698,106",-,17698106,2020.csv,2020,-,100%
444,Kaiji: Final Game,"$17,645,779",-,17645779,2020.csv,2020,-,100%
445,Hitman: Agent Jun,"$17,601,351",-,17601351,2020.csv,2020,-,100%
446,Bo Gia,"$17,480,489","$350,000",17130489,2021.csv,2021,2%,98%
447,The Dry,"$17,392,594","$364,237",17028357,2021.csv,2021,2.1%,97.9%
448,Gintama: The Final,"$17,252,960",-,17252960,2021.csv,2021,-,100%
449,Railway Heroes,"$17,222,703",-,17222703,2021.csv,2021,-,100%
450,Promising Young Woman,"$17,135,557","$6,460,965",10674592,2020.csv,2020,37.7%,62.3%
451,Digimon Adventure: Last Evolution Kizuna,"$17,096,687",-,17096687,2020.csv,2020,-,100%
452,Cumali Ceber 666,"$17,009",-,17009,2022.csv,2022,-,100%
453,Al Gareema,"$167,833",-,167833,2022.csv,2022,-,100%
454,The Suicide Squad,"$167,417,425","$55,817,425",111600000,2021.csv,2021,33.3%,66.7%
455,Wonder Woman 1984,"$166,801,036","$46,801,036",120000000,2020.csv,2020,28.1%,71.9%
456,The Grandson,"$164,306",-,164306,2022.csv,2022,-,100%
457,Space Jam: A New Legacy,"$162,892,228","$70,592,228",92300000,2021.csv,2021,43.3%,56.7%
458,The Sacrifice,"$161,047,608",-,161047608,2020.csv,2020,-,100%
459,Bye Bye Morons,"$16,955,173",-,16955173,2020.csv,2020,-,100%
460,Baaghi 3,"$16,726,510","$721,439",16005071,2020.csv,2020,4.3%,95.7%
461,I Still Believe,"$16,069,730","$9,868,521",6201209,2020.csv,2020,61.4%,38.6%
462,The Matrix Resurrections,"$156,473,077","$37,584,847",118888230,2021.csv,2021,24%,76%
463,Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",113400000,2021.csv,2021,26.3%,73.7%
464,Anka,"$152,402",-,152402,2022.csv,2022,-,100%
465,House of Gucci,"$152,011,943","$53,706,943",98305000,2021.csv,2021,35.3%,64.7%
466,A Writer's Odyssey,"$150,123,320","$160,013",149963307,2021.csv,2021,0.1%,99.9%
467,Upon the Magic Roads,"$15,990,882",-,15990882,2021.csv,2021,-,100%
468,Freaky,"$15,920,855","$9,030,855",6890000,2020.csv,2020,56.7%,43.3%
469,Reminiscence,"$15,800,193","$3,900,193",11900000,2021.csv,2021,24.7%,75.3%
470,Mothers of the Revolution,"$15,730",-,15730,2022.csv,2022,-,100%
471,Your Turn to Kill,"$15,476,242",-,15476242,2021.csv,2021,-,100%
472,The Night House,"$15,437,703","$7,100,581",8337122,2021.csv,2021,46%,54%
473,Parallel Mothers,"$15,421,838","$1,554,604",13867234,2021.csv,2021,10.1%,89.9%
474,The Sadness,"$15,375",-,15375,2022.csv,2022,-,100%
475,Padre no hay más que uno 2: La llegada de la suegra,"$15,373,181",-,15373181,2020.csv,2020,-,100%
476,Lobis,"$15,359",-,15359,2022.csv,2022,-,100%
477,Minari,"$15,322,552","$3,110,580",12211972,2021.csv,2021,20.3%,79.7%
478,Something About Love,"$15,204,017",-,15204017,2021.csv,2021,-,100%
479,Brighton 4th,"$15,193","$15,193",0,2022.csv,2022,100%,-
480,Anita,"$15,026,604","$556,632",14469972,2021.csv,2021,3.7%,96.3%
481,Arthur Rambo,"$148,312",-,148312,2022.csv,2022,-,100%
482,The Boss Baby: Family Business,"$146,745,280","$57,300,280",89445000,2021.csv,2021,39%,61%
483,PAW Patrol: The Movie,"$144,327,371","$40,127,371",104200000,2021.csv,2021,27.8%,72.2%
484,Pups Alone,"$144,216",-,144216,2022.csv,2022,-,100%
485,The Invisible Man,"$143,151,000","$70,410,000",72741000,2020.csv,2020,49.2%,50.8%
486,Onward,"$141,940,042","$61,555,145",80384897,2020.csv,2020,43.4%,56.6%
487,The Wolf and the Lion,"$14,759,382","$1,039,248",13720134,2021.csv,2021,7%,93%
488,The Way Back,"$14,690,514","$13,590,514",1100000,2020.csv,2020,92.5%,7.5%
489,The Tomorrow War,"$14,400,000",-,14400000,2021.csv,2021,-,100%
490,The Personal History of David Copperfield,"$14,399,270","$1,876,298",12522972,2020.csv,2020,13%,87%
491,"And, the Baton Was Passed","$14,368,469",-,14368469,2021.csv,2021,-,100%
492,Cry Macho,"$14,340,402","$10,310,734",4029668,2021.csv,2021,71.9%,28.1%
493,Nightlife,"$14,308,789",-,14308789,2020.csv,2020,-,100%
494,99.9 Criminal Lawyer: The Movie,"$14,269,321",-,14269321,2021.csv,2021,-,100%
495,Pawn,"$14,193,957",-,14193957,2020.csv,2020,-,100%
496,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$14,059,824",-,14059824,2021.csv,2021,-,100%
497,Book of Love,"$138,394",-,138394,2022.csv,2022,-,100%
498,Tom and Jerry,"$133,336,687","$46,536,687",86800000,2021.csv,2021,34.9%,65.1%
499,Jane by Charlotte,"$133,152",-,133152,2022.csv,2022,-,100%
500,Be Somebody,"$132,324,831",-,132324831,2021.csv,2021,-,100%
501,Stop-Zemlia,"$131,843",-,131843,2022.csv,2022,-,100%
502,Halloween Kills,"$131,647,155","$92,002,155",39645000,2021.csv,2021,69.9%,30.1%
503,Raya and the Last Dragon,"$130,281,158","$54,723,032",75558126,2021.csv,2021,42%,58%
504,Sword Art Online: Progressive - Aria of a Starless Night,"$13,769,821","$1,050,000",12719821,2021.csv,2021,7.6%,92.4%
505,Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",0,2021.csv,2021,100%,-
506,OSS 117: From Africa with Love,"$13,435,888",-,13435888,2021.csv,2021,-,100%
507,#Alive,"$13,432,212",-,13432212,2020.csv,2020,-,100%
508,Howling Village,"$13,394,556",-,13394556,2020.csv,2020,-,100%
509,Come Play,"$13,182,254","$10,475,990",2706264,2020.csv,2020,79.5%,20.5%
510,Hostage: Missing Celebrity,"$13,125,970",-,13125970,2021.csv,2021,-,100%
511,Eiffel,"$13,061,937",-,13061937,2021.csv,2021,-,100%
512,Vakeel Saab,"$13,056,490",-,13056490,2021.csv,2021,-,100%
513,Monkey King Reborn,"$13,002,635",-,13002635,2021.csv,2021,-,100%
514,Scream,"$129,768,594","$74,568,594",55200000,2022.csv,2022,57.5%,42.5%
515,Warm Hug,"$129,240,236",-,129240236,2020.csv,2020,-,100%
516,Sister,"$128,317,206",-,128317206,2021.csv,2021,-,100%
517,Gamestop: Rise of the Players,"$126,297","$126,297",0,2022.csv,2022,100%,-
518,Afacanlar: Is Basa Düstü,"$124,628",-,124628,2022.csv,2022,-,100%
519,The King's Man,"$123,960,296","$36,901,741",87058555,2021.csv,2021,29.8%,70.2%
520,100 días con la Tata,"$123,609",-,123609,2022.csv,2022,-,100%
521,Soul,"$120,957,731",-,120957731,2020.csv,2020,-,100%
522,Olga,"$12,939",-,12939,2022.csv,2022,-,100%
523,No Escapes,"$12,916,151",-,12916151,2021.csv,2021,-,100%
524,The Bodin's in the Land of Smile,"$12,872,253",-,12872253,2021.csv,2021,-,100%
525,Samjin Company English Class,"$12,761,386",-,12761386,2020.csv,2020,-,100%
526,The Many Saints of Newark,"$12,737,403","$8,237,403",4500000,2021.csv,2021,64.7%,35.3%
527,Another Round,"$12,686,885",-,12686885,2020.csv,2020,-,100%
528,News of the World,"$12,668,325","$12,668,325",0,2020.csv,2020,100%,-
529,Collectors,"$12,640,113",-,12640113,2020.csv,2020,-,100%
530,Character,"$12,571,501",-,12571501,2021.csv,2021,-,100%
531,School of Magical Animals,"$12,231,509",-,12231509,2021.csv,2021,-,100%
532,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$12,221,804",-,12221804,2020.csv,2020,-,100%
533,Doineann,"$12,175",-,12175,2022.csv,2022,-,100%
534,Ducobu 3,"$12,157,793",-,12157793,2020.csv,2020,-,100%
535,On Your Mark,"$12,100,000",-,12100000,2021.csv,2021,-,100%
536,The Addams Family 2,"$119,815,153","$56,489,153",63326000,2021.csv,2021,47.1%,52.9%
537,Opera Mundi: Rigoletto Experientia,"$116,354",-,116354,2022.csv,2022,-,100%
538,My Love,"$114,016,434","$86,252",113930182,2021.csv,2021,<0.1%,99.9%
539,The Call of the Wild,"$111,105,497","$62,342,368",48763129,2020.csv,2020,56.1%,43.9%
540,Stand by Me,"$11,900,000",-,11900000,2021.csv,2021,-,100%
541,Legend No. 17,"$11,811,335",-,11811335,2020.csv,2020,-,100%
542,On the Line,"$11,772,156",-,11772156,2021.csv,2021,-,100%
543,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,11702371,2020.csv,2020,-,100%
544,Let Him Go,"$11,630,934","$9,358,025",2272909,2020.csv,2020,80.5%,19.5%
545,The Crusade,"$11,490",-,11490,2022.csv,2022,-,100%
546,The Hunt,"$11,481,750","$5,812,500",5669250,2020.csv,2020,50.6%,49.4%
547,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,11325545,2021.csv,2021,-,100%
548,What Did You Eat Yesterday?,"$11,320,893",-,11320893,2021.csv,2021,-,100%
549,Friday the 13th 2021 Re-release,"$11,064",-,11064,2022.csv,2022,-,100%
550,Aline,"$11,012,401","$588,430",10423971,2021.csv,2021,5.3%,94.7%
551,Project 'Gemini',"$105,631",-,105631,2022.csv,2022,-,100%
552,Wrath of Man,"$103,966,489","$27,466,489",76500000,2021.csv,2021,26.4%,73.6%
553,Clifford the Big Red Dog,"$100,247,356","$48,947,356",51300000,2021.csv,2021,48.8%,51.2%
554,30 jours max,"$10,998,969",-,10998969,2020.csv,2020,-,100%
555,The Voice of Sin,"$10,983,063",-,10983063,2020.csv,2020,-,100%
556,Bigfoot Family,"$10,855,626",-,10855626,2020.csv,2020,-,100%
557,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$10,795,457","$799,342",9996115,2021.csv,2021,7.4%,92.6%
558,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,10779891,2020.csv,2020,-,100%
559,One Second,"$10,750,202",-,10750202,2020.csv,2020,-,100%
560,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",0,2020.csv,2020,100%,-
561,Honest Candidate,"$10,597,464",-,10597464,2020.csv,2020,-,100%
562,Krack,"$10,442,916",-,10442916,2021.csv,2021,-,100%
563,Kaiserschmarrndrama,"$10,357,720",-,10357720,2021.csv,2021,-,100%
564,"Caution, Hazardous Wife: The Movie","$10,356,359",-,10356359,2021.csv,2021,-,100%
565,Realm of Terracotta,"$10,341,512",-,10341512,2021.csv,2021,-,100%
566,Street Dancer 3D,"$10,339,127",-,10339127,2020.csv,2020,-,100%
567,Detective Conan: The Scarlet Alibi,"$10,308,627",-,10308627,2021.csv,2021,-,100%
568,Never Stop,"$10,224,935",-,10224935,2021.csv,2021,-,100%
569,My Spy,"$10,200,000",-,10200000,2020.csv,2020,-,100%
570,Lübbey'in Laneti,"$10,187",-,10187,2022.csv,2022,-,100%
571,The Asadas,"$10,066,797",-,10066797,2020.csv,2020,-,100%
572,Beauty and the Beast 2020 Re-release,"$10,055,094","$467,000",9588094,2020.csv,2020,4.6%,95.4%
573,Lines,"$1,977",-,1977,2022.csv,2022,-,100%
574,Gelin,"$1,955",-,1955,2022.csv,2022,-,100%
575,The Young Lovers,"$1,816,970",-,1816970,2022.csv,2022,-,100%
576,Spider-Man: No Way Home,"$1,808,739,012","$761,739,012",1047000000,2021.csv,2021,42.1%,57.9%
577,Chuyen Ma Gan Nhà,"$1,795,484",-,1795484,2022.csv,2022,-,100%
578,The King's Daughter,"$1,730,793","$1,730,793",0,2022.csv,2022,100%,-
579,Hridayam,"$1,713,508",-,1713508,2022.csv,2022,-,100%
580,Aslan Hürkus Kayip Elmas,"$1,685,827",-,1685827,2022.csv,2022,-,100%
581,"8 rzeczy, których nie wiecie o facetach","$1,554,861",-,1554861,2022.csv,2022,-,100%
582,Gierek,"$1,531,831",-,1531831,2022.csv,2022,-,100%
583,For Ziko,"$1,446,445",-,1446445,2022.csv,2022,-,100%
584,Love Is Better Than Life,"$1,410,719",-,1410719,2022.csv,2022,-,100%
585,Moraba'A Bermuda,"$1,372",-,1372,2022.csv,2022,-,100%
586,Vidhi,"$1,352",-,1352,2022.csv,2022,-,100%
587,Hive,"$1,322",-,1322,2022.csv,2022,-,100%
588,Night Raiders,"$1,281",-,1281,2022.csv,2022,-,100%
589,The Girl and the Spider,"$1,261",-,1261,2022.csv,2022,-,100%
590,Nhà Khong Bán,"$1,216,452",-,1216452,2022.csv,2022,-,100%
591,The Beatles: Get Back,"$1,214,743",-,1214743,2022.csv,2022,-,100%
592,The Wild Life,"$1,212",-,1212,2022.csv,2022,-,100%
593,Swingers,"$1,139,284",-,1139284,2022.csv,2022,-,100%
594,1990,"$1,071,242",-,1071242,2022.csv,2022,-,100%
595,28½,"$1,066",-,1066,2022.csv,2022,-,100%
596,Ninjababy,"$1,046",-,1046,2022.csv,2022,-,100%
597,The Butcher's Daughter,"$1,033,162",-,1033162,2022.csv,2022,-,100%
598,Rowdy Boys,"$1,029",-,1029,2022.csv,2022,-,100%
599,Veerame Vaagai Soodum,"$1,024,908",-,1024908,2022.csv,2022,-,100%
600,A Radiant Girl,"$1,012,800",-,1012800,2022.csv,2022,-,100%
