Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
38,Downhill,"$8,899,195","$8,287,061",612134,2020.csv,2020,93.1%,6.9%
39,Les blagues de Toto,"$8,859,185",-,8859185,2020.csv,2020,-,100%
40,The Eleventh Chapter,"$8,845,525",-,8845525,2021.csv,2021,-,100%
41,The Pirates: The Last Royal Treasure,"$8,821,090",-,8821090,2022.csv,2022,-,100%
42,Kaguya-sama: Love Is War,"$8,794,981",-,8794981,2021.csv,2021,-,100%
43,The Secret Garden,"$8,721,243",-,8721243,2020.csv,2020,-,100%
44,Catch the Fair One,"$8,661","$7,992",669,2022.csv,2022,92.3%,7.7%
45,The Pregnant Tree and the Goblin,"$8,655",-,8655,2022.csv,2022,-,100%
46,Eltilerin Savasi,"$8,613,864",-,8613864,2020.csv,2020,-,100%
47,Broken Keys,"$8,510",-,8510,2022.csv,2022,-,100%
48,Agent Backkom: Kings Bear,"$8,500,000",-,8500000,2021.csv,2021,-,100%
49,Honey Lemon Soda,"$8,441,488",-,8441488,2021.csv,2021,-,100%
50,Malang,"$8,399,765",-,8399765,2020.csv,2020,-,100%
51,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,8377569,2021.csv,2021,-,100%
52,Delicious,"$8,342,846",-,8342846,2021.csv,2021,-,100%
53,The Protégé,"$8,282,208","$7,446,823",835385,2021.csv,2021,89.9%,10.1%
54,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,8204616,2021.csv,2021,-,100%
55,White Snake 2: Green Snake,"$8,170,000",-,8170000,2021.csv,2021,-,100%
56,Ainbo,"$8,133,281",-,8133281,2021.csv,2021,-,100%
57,New Happy Dad and Son 4,"$8,070,000",-,8070000,2021.csv,2021,-,100%
58,Your Eyes Tell,"$8,020,474",-,8020474,2020.csv,2020,-,100%
59,My Little Princess 2022 Re-release,"$8,018",-,8018,2022.csv,2022,-,100%
60,See for Me,"$79,411","$51,218",28193,2022.csv,2022,64.5%,35.5%
61,No Time to Die,"$774,153,007","$160,891,007",613262000,2021.csv,2021,20.8%,79.2%
62,Asterrarium,$772,-,772,2022.csv,2022,-,100%
63,Boonie Bears: The Wild Life,"$77,961,258",-,77961258,2021.csv,2021,-,100%
64,Candyman,"$77,411,570","$61,186,570",16225000,2021.csv,2021,79%,21%
65,The Forever Purge,"$76,994,245","$44,539,245",32455000,2021.csv,2021,57.8%,42.2%
66,Heart to Heart,"$759,972",-,759972,2022.csv,2022,-,100%
67,Placés,"$759,453",-,759453,2022.csv,2022,-,100%
68,1921,"$75,159,828",-,75159828,2021.csv,2021,-,100%
69,F9: The Fast Saga,"$726,229,501","$173,005,945",553223556,2021.csv,2021,23.8%,76.2%
70,"Love, Sex & Pandemic","$717,052",-,717052,2022.csv,2022,-,100%
71,Masal Zamani Melez Prenses,"$70,258",-,70258,2022.csv,2022,-,100%
72,Hitman's Wife's Bodyguard,"$70,060,492","$38,014,727",32045765,2021.csv,2021,54.3%,45.7%
73,Shattered,"$70,055",-,70055,2022.csv,2022,-,100%
74,The Medium,"$7,970,149",-,7970149,2021.csv,2021,-,100%
75,Koati,"$7,948",-,7948,2022.csv,2022,-,100%
76,AI Amok,"$7,932,191",-,7932191,2020.csv,2020,-,100%
77,Sunny Sisters,"$7,880,000",-,7880000,2021.csv,2021,-,100%
78,The Lost Prince,"$7,837,980",-,7837980,2020.csv,2020,-,100%
79,Antoinette dans les Cévennes,"$7,800,173",-,7800173,2020.csv,2020,-,100%
80,The Marriage Escape,"$7,760,946",-,7760946,2020.csv,2020,-,100%
81,Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,7732435,2020.csv,2020,-,100%
82,Smack Dab Kakha,"$7,692,780",-,7692780,2020.csv,2020,-,100%
83,Two by Two: Overboard!,"$7,682,182",-,7682182,2020.csv,2020,-,100%
84,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,7673207,2020.csv,2020,-,100%
