Rank,Release Group,Worldwide,Domestic,%,Foreign,%
49,"Love, Sex & Pandemic","$717,052",-,-,"$717,052",100%
50,America Latina,"$693,818",-,-,"$693,818",100%
51,Hello Jadoo: The Secret of Jeju Island,"$658,191",-,-,"$658,191",100%
52,Boiling Point,"$651,281",-,-,"$651,281",100%
53,Liubov i blohery,"$650,857",-,-,"$650,857",100%
54,Adieu Paris,"$647,135",-,-,"$647,135",100%
55,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
56,The Grandmother,"$584,217",-,-,"$584,217",100%
57,Bangarraju,"$534,735",-,-,"$534,735",100%
58,Lynx,"$531,572",-,-,"$531,572",100%
59,Zlatni decko,"$516,236",-,-,"$516,236",100%
60,Kaptan Pengu ve Arkadaslari 2,"$488,304",-,-,"$488,304",100%
61,Fireheart,"$486,910",-,-,"$486,910",100%
62,Around the World in 80 Days,"$479,303",-,-,"$479,303",100%
63,The Chef,"$416,658",-,-,"$416,658",100%
64,The Glance of Music,"$350,503",-,-,"$350,503",100%
65,Nitram,"$344,826",-,-,"$344,826",100%
66,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%
67,Paw Patrol: Mission Xmas,"$320,402",-,-,"$320,402",100%
68,Clean,"$315,448","$315,448",100%,-,-
69,Dilberay Küçük Dev Kadin,"$284,405",-,-,"$284,405",100%
70,Un Rabón con Corazón,"$272,584",-,-,"$272,584",100%
71,Beyond Live Nct: Resonance,"$266,442",-,-,"$266,442",100%
72,Last Looks,"$257,630",-,-,"$257,630",100%
73,Secret Name,"$254,609",-,-,"$254,609",100%
74,Naai Sekar,"$237,861",-,-,"$237,861",100%
75,The Best Weekend,"$224,062",-,-,"$224,062",100%
76,Sundown,"$221,725","$221,725",100%,-,-
77,My Wonderful Wanda,"$202,048",-,-,"$202,048",100%
78,Emergency Situation,"$196,534",-,-,"$196,534",100%
79,Super Sharanya,"$187,264",-,-,"$187,264",100%
80,Jang Minho Drama,"$185,373",-,-,"$185,373",100%
81,BanG Dream! Poppin'Dream!,"$175,529",-,-,"$175,529",100%
82,Rosy,"$170,246",-,-,"$170,246",100%
83,Al Gareema,"$167,833",-,-,"$167,833",100%
84,The Grandson,"$164,306",-,-,"$164,306",100%
85,Anka,"$152,402",-,-,"$152,402",100%
86,Arthur Rambo,"$148,312",-,-,"$148,312",100%
87,Pups Alone,"$144,216",-,-,"$144,216",100%
88,Book of Love,"$138,394",-,-,"$138,394",100%
89,Jane by Charlotte,"$133,152",-,-,"$133,152",100%
90,Stop-Zemlia,"$131,843",-,-,"$131,843",100%
91,Gamestop: Rise of the Players,"$126,297","$126,297",100%,-,-
92,Afacanlar: Is Basa Düstü,"$124,628",-,-,"$124,628",100%
93,100 días con la Tata,"$123,609",-,-,"$123,609",100%
94,Opera Mundi: Rigoletto Experientia,"$116,354",-,-,"$116,354",100%
95,Project 'Gemini',"$105,631",-,-,"$105,631",100%
96,Meppadiyan,"$94,996",-,-,"$94,996",100%
97,Flight 666,"$87,997",-,-,"$87,997",100%
98,Ghosts of the Ozarks,"$81,210",-,-,"$81,210",100%
99,See for Me,"$79,411","$51,218",64.5%,"$28,193",35.5%
100,Masal Zamani Melez Prenses,"$70,258",-,-,"$70,258",100%
101,Shattered,"$70,055",-,-,"$70,055",100%
102,Ghost in Transit,"$69,013",-,-,"$69,013",100%
103,The Last Execution,"$68,529",-,-,"$68,529",100%
104,The Conversation 2021 Re-release,"$65,764","$65,764",100%,-,-
105,Tazza 2: The Hidden Card,"$61,756",-,-,"$61,756",100%
106,Panghrun,"$60,244",-,-,"$60,244",100%
107,Träume sind wie wilde Tiger,"$59,423",-,-,"$59,423",100%
108,Save the Cinema,"$58,640",-,-,"$58,640",100%
109,Howl's Moving Castle 2022 Re-release,"$54,646",-,-,"$54,646",100%
110,Mult V Kino Vol 133,"$53,075",-,-,"$53,075",100%
111,Muu Ke Thuong Luu,"$49,344",-,-,"$49,344",100%
112,Sing a Bit of Harmony,"$48,915",-,-,"$48,915",100%
113,Art of the Dead,"$48,621",-,-,"$48,621",100%
114,Sewing Sisters,"$47,588",-,-,"$47,588",100%
115,Mr. Landsbergis,"$46,298",-,-,"$46,298",100%
116,La notte più lunga dell'anno,"$46,124",-,-,"$46,124",100%
117,Cow,"$45,678",-,-,"$45,678",100%
118,Fortress,"$45,617",-,-,"$45,617",100%
119,Blow-Up 2020 Re-release,"$45,418",-,-,"$45,418",100%
120,Gold,"$45,021",-,-,"$45,021",100%
121,Only Fools Rush In,"$42,872",-,-,"$42,872",100%
122,Ballad of a White Cow,"$42,467",-,-,"$42,467",100%
123,"That Day, on the Beach","$37,482",-,-,"$37,482",100%
124,Nalan,"$33,925",-,-,"$33,925",100%
125,"That Day, on the Beach 2022 Re-release","$33,046",-,-,"$33,046",100%
126,We Are Nothing,"$32,876",-,-,"$32,876",100%
127,Petya na moyata Petya,"$32,209",-,-,"$32,209",100%
128,Fritanga Express,"$31,153",-,-,"$31,153",100%
129,C.I.Ape,"$28,517",-,-,"$28,517",100%
130,Embrace Again,"$27,157",-,-,"$27,157",100%
131,Mariya,"$26,107",-,-,"$26,107",100%
132,Düs Pesine,"$25,416",-,-,"$25,416",100%
133,Shortbus 2022 Re-release (Restoration),"$24,200","$24,200",100%,-,-
134,Yildizlar Da Kayar,"$23,558",-,-,"$23,558",100%
135,Know Fear,"$23,309",-,-,"$23,309",100%
136,Kara Neme: Gelin Deresi,"$23,177",-,-,"$23,177",100%
137,Spravzhnii Santa,"$21,719",-,-,"$21,719",100%
138,Portret neznakomtsa,"$19,968",-,-,"$19,968",100%
139,Nashi deti,"$19,749",-,-,"$19,749",100%
140,The Commando,"$19,253",-,-,"$19,253",100%
141,Candlelight Revolution,"$19,153",-,-,"$19,153",100%
142,A Vanishing Fog,"$17,959",-,-,"$17,959",100%
143,Cumali Ceber 666,"$17,009",-,-,"$17,009",100%
144,Mothers of the Revolution,"$15,730",-,-,"$15,730",100%
145,The Sadness,"$15,375",-,-,"$15,375",100%
146,Lobis,"$15,359",-,-,"$15,359",100%
147,Brighton 4th,"$15,193","$15,193",100%,-,-
148,Olga,"$12,939",-,-,"$12,939",100%
149,Doineann,"$12,175",-,-,"$12,175",100%
150,The Crusade,"$11,490",-,-,"$11,490",100%
151,Friday the 13th 2021 Re-release,"$11,064",-,-,"$11,064",100%
152,Lübbey'in Laneti,"$10,187",-,-,"$10,187",100%
153,Shooter,"$9,204",-,-,"$9,204",100%
154,WarHunt,"$8,953",-,-,"$8,953",100%
155,Catch the Fair One,"$8,661","$7,992",92.3%,$669,7.7%
156,The Pregnant Tree and the Goblin,"$8,655",-,-,"$8,655",100%
157,Broken Keys,"$8,510",-,-,"$8,510",100%
