Rank,Release Group,Worldwide,Domestic,%,Foreign,%
34,Nhà Khong Bán,"$1,216,452",-,-,"$1,216,452",100%
35,The Beatles: Get Back,"$1,214,743",-,-,"$1,214,743",100%
36,Swingers,"$1,139,284",-,-,"$1,139,284",100%
37,"8 rzeczy, których nie wiecie o facetach","$1,074,110",-,-,"$1,074,110",100%
38,1990,"$1,071,242",-,-,"$1,071,242",100%
39,The Butcher's Daughter,"$1,033,162",-,-,"$1,033,162",100%
40,Veerame Vaagai Soodum,"$1,021,154",-,-,"$1,021,154",100%
41,The Young Lovers,"$964,674",-,-,"$964,674",100%
42,Mali Twist,"$956,475",-,-,"$956,475",100%
43,The Tiger Rising,"$882,128","$835,162",94.7%,"$46,966",5.3%
44,The Souvenir,"$827,620",-,-,"$827,620",100%
45,My Brothers and I,"$825,312",-,-,"$825,312",100%
46,A Radiant Girl,"$795,658",-,-,"$795,658",100%
47,Heart to Heart,"$759,972",-,-,"$759,972",100%
48,Placés,"$759,453",-,-,"$759,453",100%
49,America Latina,"$693,818",-,-,"$693,818",100%
50,Hello Jadoo: The Secret of Jeju Island,"$658,191",-,-,"$658,191",100%
51,Liubov i blohery,"$650,857",-,-,"$650,857",100%
52,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
53,Boiling Point,"$606,053",-,-,"$606,053",100%
54,The Grandmother,"$584,217",-,-,"$584,217",100%
55,Bangarraju,"$534,735",-,-,"$534,735",100%
56,"Love, Sex & Pandemic","$517,089",-,-,"$517,089",100%
57,Zlatni decko,"$516,236",-,-,"$516,236",100%
58,Kaptan Pengu ve Arkadaslari 2,"$488,304",-,-,"$488,304",100%
59,Adieu Paris,"$483,187",-,-,"$483,187",100%
60,Around the World in 80 Days,"$479,303",-,-,"$479,303",100%
61,Lynx,"$422,773",-,-,"$422,773",100%
62,The Chef,"$416,658",-,-,"$416,658",100%
63,Fireheart,"$406,363",-,-,"$406,363",100%
64,The Glance of Music,"$350,503",-,-,"$350,503",100%
65,Nitram,"$344,826",-,-,"$344,826",100%
66,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%
67,Paw Patrol: Mission Xmas,"$320,402",-,-,"$320,402",100%
68,Clean,"$315,448","$315,448",100%,-,-
69,Dilberay Küçük Dev Kadin,"$276,902",-,-,"$276,902",100%
70,Beyond Live Nct: Resonance,"$266,442",-,-,"$266,442",100%
71,Last Looks,"$257,630",-,-,"$257,630",100%
72,Secret Name,"$254,609",-,-,"$254,609",100%
73,Petya na moyata Petya,"$241,114",-,-,"$241,114",100%
74,Naai Sekar,"$237,861",-,-,"$237,861",100%
75,The Best Weekend,"$224,062",-,-,"$224,062",100%
76,Sundown,"$218,056","$218,056",100%,-,-
77,Un Rabón con Corazón,"$216,368",-,-,"$216,368",100%
78,My Wonderful Wanda,"$202,048",-,-,"$202,048",100%
79,Emergency Situation,"$196,534",-,-,"$196,534",100%
80,Super Sharanya,"$185,427",-,-,"$185,427",100%
81,Jang Minho Drama,"$185,373",-,-,"$185,373",100%
82,BanG Dream! Poppin'Dream!,"$175,529",-,-,"$175,529",100%
83,Rosy,"$170,246",-,-,"$170,246",100%
84,Al Gareema,"$167,833",-,-,"$167,833",100%
85,The Grandson,"$164,306",-,-,"$164,306",100%
86,Anka,"$152,402",-,-,"$152,402",100%
87,Arthur Rambo,"$148,312",-,-,"$148,312",100%
88,Pups Alone,"$144,216",-,-,"$144,216",100%
89,Book of Love,"$138,394",-,-,"$138,394",100%
90,Jane by Charlotte,"$133,152",-,-,"$133,152",100%
91,Stop-Zemlia,"$131,843",-,-,"$131,843",100%
92,Gamestop: Rise of the Players,"$126,297","$126,297",100%,-,-
93,Afacanlar: Is Basa Düstü,"$124,628",-,-,"$124,628",100%
94,100 días con la Tata,"$123,609",-,-,"$123,609",100%
95,Opera Mundi: Rigoletto Experientia,"$116,354",-,-,"$116,354",100%
96,Project 'Gemini',"$105,631",-,-,"$105,631",100%
